Base	IPA	Example

Base	IPA	Exempel
p	p	pil
b	b	bil
t	t	bot
rt	ʈ	bort
d	d	bod
rd	ɖ	bord
k	k	kal
g	ɡ	gal
f	f	fal
v	v	val
s	s	sal
rs	ʂ	fors
h	h	hal
x	ɧ	sjal
c	ɕ	tjat
m	m	matt
n	n	natt
rn	ɳ	barn
ng	ŋ	ring
r	r	riv
l	l	liv
rl	ɭ	sorl
j	j	jag
w	w	way (eng)
sh	ʃ	she (eng)
zh	ʒ	measure (eng)
z	z	zebra (eng)
dh	ð	this (eng)
th	θ	thick (eng)
rh	ɾ	road (eng)
r0	-	father (br. eng)
rx	ʀ	rouge (fre)
tc	t͡ʃ	chicken (eng)
dj	d͡ʒ	fudge (eng)
xx	x	Bach (ger)

i:	iː	sil
i	ɪ	sill
ih	ɪ̯	radio
y:	yː	syl
y	ʏ	syll
e:	eː	sel
e	e	sett
eh	e̝	betona
ex	ə	papper
ä:	ɛː	säl
ä	ɛ	sätt
ae:	æː	när
ae	æ	spärr
ö:	øː	rön
ö	ø	rönn
oe:	œː	för
oe	œ	förr
u:	uː	bot
u	u	bott
oh	o	bohem
o:	oː	såt
o	ɔ	sått
uu:	ʉː	sur
uu	ɵ	surr
uuh	ʉ	butik
uw:	ʊː	you
uw	ʊ	would
a:	ɑː	mat
a	a	matt
aa:	aː	Zlatan
au	aʊ	paus
eu	ɛʊ	euro
ei	eɪ	way (eng)
ai	aɪ	lie (eng)
oi	ɔɪ	boy (eng)
ou	əʊ	low (eng)
eex	eə	where (eng)
iex	ɪə	here (eng)
uex	ʊə	pure (eng)
an	ã	sans (fre)
en	ɛ̃	pain (fre)
on	õ	pardon (fre)
un	œ̃	lundi (fre)
